Dataset ID,Question,Category,Sub-Category,Difficulty,Source,Company
#HMA2,K largest elements from a big file or array,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA3,"Find a triplet a, b, c such that a2 = b2 + c2",Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA4,tree traversal questions,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA5,Convert a Binary tree to DLL,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA6,Lowest Common ancestor in a Binary Search Tree and Binary Tree.,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA7,"Implement a stack with push(), pop() and min() in O(1) time.",Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA8,Reverse a linked list in groups of size k,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA9,"Given two numbers represented by two linked lists, write a function that returns sum list",Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA10,9. Rotate a matrix by 90 degree.,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA11,Stock span problem,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA12,Next greater element,Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMA13,"system design questions,",Technical,DSA,N/A,GeeksforGeeks,Amazon
#HMAP1,Cyclically rotate an array by one,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP2,Program for array rotation,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP3,Adding one to a number represented an an array of digits,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP4,Find the missing and repeating number,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP5,Product of Array except itself,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP6,Find the Number Occurring Odd Number of Times,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP7,Round the given number to nearest multiple of 10,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP8,Elements in the Range,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP9,Find zeroes to be flipped so that number of consecutive 1’s is maximized,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP10,Equilibrium index of an array,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP11,Top k numbers in a stream,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP12,Rotate a 2D array without using extra space,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP13,Program to validate an IP address,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP14,Implement Atoi,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP15,Program to Check if a Given String is Palindrome,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP16,Check whether two strings are anagram of each other,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP17,Write a program to print all permutations of a given string,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP18,Remove duplicates from a given string,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP19,Find Excel column name from a given column number,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP20,Length of the longest valid substring,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP21,Converting Decimal Number lying between 1 to 3999 to Roman Numerals,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP22,"Given a sequence of words, print all anagrams together",Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP23,Longest prefix which is also suffix,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP24,Find if an array of strings can be chained to form a circle,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP25,Delete a Node in Single Linked List,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP26,Reverse a linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP27,Reverse a Linked List in groups of given size,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP28,Check if a linked list is Circular Linked List,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP29,Multiply two numbers represented by Linked Lists,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP30,Reverse a sublist of linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
