Dataset ID,Question,Category,Sub-Category,Difficulty,Source,Company
#HMAP1,Cyclically rotate an array by one,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP2,Program for array rotation,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP3,Adding one to a number represented an an array of digits,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP4,Find the missing and repeating number,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP5,Product of Array except itself,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP6,Find the Number Occurring Odd Number of Times,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP7,Round the given number to nearest multiple of 10,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP8,Elements in the Range,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP9,Find zeroes to be flipped so that number of consecutive 1’s is maximized,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP10,Equilibrium index of an array,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP11,Top k numbers in a stream,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP12,Rotate a 2D array without using extra space,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP13,Program to validate an IP address,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP14,Implement Atoi,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP15,Program to Check if a Given String is Palindrome,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP16,Check whether two strings are anagram of each other,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP17,Write a program to print all permutations of a given string,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP18,Remove duplicates from a given string,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP19,Find Excel column name from a given column number,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP20,Length of the longest valid substring,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP21,Converting Decimal Number lying between 1 to 3999 to Roman Numerals,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP22,"Given a sequence of words, print all anagrams together",Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP23,Longest prefix which is also suffix,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP24,Find if an array of strings can be chained to form a circle,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP25,Delete a Node in Single Linked List,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP26,Reverse a linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP27,Reverse a Linked List in groups of given size,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP28,Check if a linked list is Circular Linked List,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP29,Multiply two numbers represented by Linked Lists,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP30,Reverse a sublist of linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP31,Implement a stack using singly linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP32,Convert a given Binary Tree to Doubly Linked List,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP33,Length of longest palindrome in linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP34,Find length of loop in linked list,Technical,DSA,N/A,GeeksforGeeks,Apple
#HMAP35,Clone a linked list with next and random pointer,Technical,DSA,N/A,GeeksforGeeks,Apple
