Dataset ID,Question,Category,Sub-Category,Difficulty,Source,Company
#HMA1,DSA to Development,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA2,DSA to Development,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA3,Master Django Framework,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA4,Interview 101: DSA & System Design,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA5,Placement Preparation Course,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA6,Data Structures & Algorithms,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA7,Python Tutorial,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA8,System Design,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA9,Java,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA10,HTML,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA11,GATE Rank Predictor,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA12,Operating System,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA13,DevOps Tutorial,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA14,Get Hired: Apply for Jobs,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA15,Build your AI Agent,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA16,Accenture Hackathon,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA17,Trending Now,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA18,Ending Soon: 90% Refund Offer,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA19,Maximum sum subarray such that no elements are consecutive,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA20,Amazon Interview Experiences,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA21,Interview Preparation,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA22,Amazon,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA23,About Us,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA24,Job-A-Thon Hiring Challenge,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA25,Languages,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA26,DSA,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA27,Data Science & ML,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA28,Web Technologies,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA29,Python Tutorial,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA30,Computer Science,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA31,DevOps,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA32,System Design,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA33,Mathematics,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA34,Software and Tools,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA35,Databases,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA36,Preparation Corner,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA37,JEE Advanced,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA38,More Tutorials,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA39,Typing Test,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA40,Write an Article,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA41,DSA/Placements,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA42,Development/Testing,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA43,Machine Learning/Data Science,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA44,Programming Languages,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA45,Clouds/Devops,Technical,DSA,N/A,GeeksforGeeks,Meta
#HMA46,GATE 2026,Technical,DSA,N/A,GeeksforGeeks,Meta
