Dataset ID,Question,Category,Sub-Category,Difficulty,Source,Company
#HMN1,Find a triplet that sums to a given value,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN2,Boolean Matrix,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN3,Maximum subset XOR,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN4,Number of subsets with product less than k,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN5,"Given a number, find the next smallest palindrome",Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN6,Arrange given numbers to form the biggest number,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN7,Nuts & Bolts Problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN8,Maximize elements using another array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN9,Capacity To Ship Packages Within D Days,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN10,Longest Arithmetic Progression,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN11,Construct a List using the given Q XOR queries,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN12,Find the row with the maximum number of 1s,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN13,Find top k (or most frequent) numbers in a stream,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN14,Find duplicates in O(n) time and O(1) extra space,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN15,"Given a string, print all possible palindromic partitions",Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN16,Find all distinct palindromic sub-strings of a given string,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN17,Longest substring whose characters can be rearranged to form a Palindrome,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN18,How to design a tiny URL or URL shortener?,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN19,Longest repeating and non-overlapping substring,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN20,Length of the longest valid substring,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN21,Find a pair with the given difference,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN22,Find the Largest number with a given number of digits and the sum of digits,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN23,Find Excel column name from a given column number,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN24,Count words that appear exactly two times in an array of words,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN25,Convert a given Binary Tree to a Doubly Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN26,Clone a linked list with the next and random pointer,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN27,Rearrange a given linked list in-place,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN28,Flatten a binary tree into a linked list,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN29,Reverse a sublist of the linked list,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN30,Extract Leaves of a Binary Tree in a Doubly Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN31,QuickSort on Singly Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN32,Insertion Sort for Singly Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN33,Remove all occurrences of duplicates from a sorted Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN34,Detect and Remove Loop in a Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN35,Intersection Point in Y-Shaped Linked Lists,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN36,Find a maximum or minimum for every window size in a given array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN37,Length of the longest valid substring,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN38,Celebrity Problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN39,Next Greater Element,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN40,Implement Stack using Queues,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN41,Stock Span Problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN42,Maximum size rectangle binary sub-matrix with all 1s,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN43,Circular tour,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN44,Implement two stacks in an array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN45,Sort a stack using recursion,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN46,Allocate a minimum number of pages,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN47,Median of two sorted arrays of different sizes,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN48,painter’s partition problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN49,Minimum Number of Platforms Required for a Railway/Bus Station,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN50,The square root of an integer,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN51,Sort an array according to the order defined by another array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN52,Find the element that appears once,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN53,Find the farthest smaller number on the right side,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN54,Distribute N candies among K people,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN55,Two elements whose sum is closest to zero,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN56,Merge two sorted arrays with O(1) extra space,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN57,Find a triplet that sums to a given value,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN58,Minimum number of swaps required to sort an array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN59,QuickSort,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN60,The floor in a Sorted Array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN61,Chocolate Distribution Problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN62,k largest(or smallest) elements in an array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN63,Sort an array according to the order defined by another array,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN64,Overlapping Intervals,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN65,Minimum sprinklers required to be turned on to water the plants,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN66,Find four elements that sum to a given value,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN67,Find the first non-repeating character from a stream of characters,Technical,DSA,N/A,GeeksforGeeks,Netflix
